"rental_id","owner_id","vehicle_id","location_id","rate_daily","rating","rentertripstaken","reviewcount","location_id-2","location_city","location_country","location_latitude","location_longitude","airport_city","vehicle_id-2","vehicle_make","vehicle_model","vehicle_type","vehicle_year","fueltype","estimated_car_price"
11703,7868475,1776,1919,"90.00","4.95",69,66,1919,"East Point","US","33.653412","-84.492217","Atlanta",1776,"Mercedes-Benz","E-Class","sedan",2016,"GASOLINE","35000.00"
11704,4022601,352,2740,"175.00","5.00",20,15,2740,"Austin","US","30.249660","-97.857850","Austin",352,"Mercedes-Benz","C-Class","sedan",2019,"GASOLINE","40000.00"
11705,2282043,1988,3391,"54.00","4.97",35,35,3391,"Washington","US","38.928121","-77.043465","Baltimore",1988,"Toyota","Prius","sedan",2016,"HYBRID","18000.00"
11706,1459382,1930,2592,"75.00","4.95",24,22,2592,"Fort Meade","US","39.113016","-76.727580","Baltimore",1930,"Tesla","Model 3","sedan",2020,"ELECTRIC","45000.00"
11707,21255,1896,5091,"66.00","4.95",84,75,5091,"Charlotte","US","35.221431","-80.818213","Charlotte",1896,"Ford","Mustang","coupe",2014,"GASOLINE","20000.00"
11708,856042,1225,4964,"99.00","5.00",11,10,4964,"Dripping Springs","US","30.241177","-98.046087","Austin",1225,"Jeep","Wrangler","suv",2018,"GASOLINE","35000.00"
11709,3276160,342,4254,"49.00","4.37",52,41,4254,"Arlington","US","38.864061","-77.063268","Washington",342,"Audi","A4","sedan",2013,"GASOLINE","13000.00"
11710,4874448,820,5786,"169.00","5.00",100,95,5786,"Irving","US","32.920946","-96.969909","Dallas-Fort Worth",820,"Chevrolet","Corvette","coupe",2015,"GASOLINE","45000.00"
11711,10378067,1108,5793,"160.00","5.00",15,12,5793,"Newark","US","40.705392","-74.216453","Newark",1108,"Chevrolet","Camaro","coupe",2017,"GASOLINE","30000.00"
11712,6821835,785,4449,"300.00","5.00",116,107,4449,"Newark","US","40.777103","-74.169941","Newark",785,"Nissan","GT-R","coupe",2013,"GASOLINE","60000.00"
11713,12961617,223,1032,"34.00","4.83",9,6,1032,"Greensboro","US","36.122292","-79.887575","Greensboro",223,"Toyota","Corolla","sedan",2015,"GASOLINE","15000.00"
11714,15288016,1224,3880,"32.00","4.75",8,8,3880,"Greensboro","US","36.051200","-79.883303","Greensboro",1224,"Chevrolet","Sonic","hatchback",2014,"GASOLINE","10000.00"
11715,4442863,519,3289,"36.00","5.00",1,1,3289,"Kernersville","US","36.109883","-80.067419","Greensboro",519,"Toyota","Corolla","sedan",2016,"GASOLINE","16000.00"
11716,106644,1153,5113,"77.00","4.98",51,48,5113,"Noblesville","US","40.000722","-86.065466","Indianapolis",1153,"Honda","S2000","convertible",2007,"GASOLINE","25000.00"
11717,12796797,1781,3845,"150.00","4.89",11,9,3845,"Atlanta","US","33.890901","-84.453496","Atlanta",1781,"BMW","X6","suv",2018,"GASOLINE","50000.00"
11718,6346590,1396,25,"98.00","5.00",5,2,25,"Ontario","US","34.020678","-117.651264","Ontario",1396,"Audi","SQ5","suv",2018,"GASOLINE","40000.00"
11719,3280890,1699,1486,"65.00","4.91",52,44,1486,"Los Angeles","US","33.941896","-118.408607","Los Angeles",1699,"Mercedes-Benz","CLA-Class","coupe",2020,"GASOLINE","40000.00"
11720,370916,979,2183,"45.00","4.87",29,23,2183,"Inglewood","US","33.953054","-118.373581","Los Angeles",979,"Honda","Civic Sedan","sedan",2019,"GASOLINE","22000.00"
11721,4737093,1514,1891,"58.00","5.00",10,10,1891,"Chantilly","US","38.891082","-77.430408","Washington",1514,"Toyota","Highlander","suv",2015,"GASOLINE","25000.00"
11722,9019103,237,5243,"78.00","4.98",67,59,5243,"Memphis","US","35.018942","-89.797837","Memphis",237,"Mercedes-Benz","E-Class","sedan",2011,"GASOLINE","12000.00"
11723,637495,145,1776,"110.00","4.72",136,114,1776,"Miami","US","25.799155","-80.260583","Miami",145,"Ford","Mustang","coupe",2019,"GASOLINE","35000.00"
11724,637495,1199,667,"30.00","4.89",62,55,667,"Miami","US","25.799585","-80.260855","Miami",1199,"Hyundai","Sonata","sedan",2019,"GASOLINE","25000.00"
11725,8598643,21,4686,"99.00","5.00",5,4,4686,"Nashville","US","36.157319","-86.766197","Nashville",21,"Mercedes-Benz","GLC-Class","suv",2018,"GASOLINE","35000.00"
11726,922751,288,2037,"30.00","4.86",25,22,2037,"Glendale","US","43.115237","-87.912296","Milwaukee",288,"Toyota","Corolla","sedan",2010,"GASOLINE","7000.00"
11727,406236,429,721,"31.00","4.92",54,50,721,"Minneapolis","US","44.986137","-93.275873","Minneapolis",429,"Honda","Fit","hatchback",2010,"GASOLINE","7000.00"
11728,6761489,439,453,"95.00","4.98",75,60,453,"Macomb","US","42.633433","-82.924010","Detroit",439,"Dodge","Ram 1500","truck",2019,"GASOLINE","35000.00"
11729,10140979,1807,1194,"130.00","4.97",32,29,1194,"Roseville","US","38.768314","-121.267666","Sacramento",1807,"Tesla","Model 3","sedan",2019,"ELECTRIC","45000.00"
11730,10704266,1627,4382,"40.00","4.85",50,46,4382,"Sacramento","US","38.657786","-121.347882","Sacramento",1627,"Smart","fortwo","hatchback",2013,"GASOLINE","8000.00"
11731,9883263,459,3662,"128.00","4.90",38,31,3662,"Sacramento","US","38.464108","-121.362259","Sacramento",459,"Tesla","Model S","sedan",2013,"ELECTRIC","40000.00"
11732,5685292,407,2877,"189.00","5.00",31,27,2877,"Fair Oaks","US","38.651251","-121.308241","Sacramento",407,"Tesla","Model 3","sedan",2018,"ELECTRIC","40000.00"
11733,10537511,1104,146,"180.00","4.97",38,36,146,"Newcastle","US","47.542932","-122.163548","Seattle",1104,"Land Rover","Range Rover Sport","suv",2018,"GASOLINE","60000.00"
11734,5685292,1807,3952,"130.00","5.00",50,44,3952,"Fair Oaks","US","38.650121","-121.306954","Sacramento",1807,"Tesla","Model 3","sedan",2019,"ELECTRIC","45000.00"
11735,11740191,3,2350,"112.00","5.00",9,7,2350,"Plumas Lake","US","39.020466","-121.549971","Sacramento",3,"BMW","6 Series","coupe",2015,"GASOLINE","30000.00"
11736,9761878,536,194,"169.00","5.00",23,19,194,"Roseville","US","38.806403","-121.323557","Sacramento",536,"BMW","7-Series","sedan",2019,"GASOLINE","70000.00"
11737,10140979,366,1686,"38.00","4.36",15,14,1686,"Roseville","US","38.766453","-121.267826","Sacramento",366,"Smart","fortwo","hatchback",2012,"GASOLINE","7000.00"
11738,14859798,886,5836,"33.00","5.00",19,15,5836,"Sacramento","US","38.654645","-121.525744","Sacramento",886,"Toyota","Camry","sedan",2016,"GASOLINE","18000.00"
11739,927200,1455,3195,"65.00","5.00",39,36,3195,"Sacramento","US","38.606920","-121.540006","Sacramento",1455,"Chevrolet","Bolt EV","hatchback",2018,"ELECTRIC","30000.00"
11740,8763918,307,3727,"56.00","4.95",21,21,3727,"Elk Grove","US","38.409289","-121.414005","Sacramento",307,"Lexus","IS 350 C","convertible",2010,"GASOLINE","12000.00"
11741,11806337,1795,4172,"200.00","5.00",4,4,4172,"Rancho Murieta","US","38.507134","-121.084944","Sacramento",1795,"Jaguar","F-TYPE","coupe",2015,"GASOLINE","45000.00"
11742,161542,1901,2851,"150.00","4.67",7,6,2851,"Sacramento","US","38.498135","-121.525738","Sacramento",1901,"Tesla","Model S","sedan",2014,"ELECTRIC","40000.00"
11743,1809789,50,2957,"36.00","4.98",56,52,2957,"Gibsonton","US","27.836962","-82.349677","Sarasota/Bradenton",50,"FIAT","500","hatchback",2012,"GASOLINE","8000.00"
11744,11432744,315,3924,"50.00","5.00",16,12,3924,"Sarasota","US","27.352480","-82.530964","Sarasota/Bradenton",315,"Ford","Fusion","sedan",2017,"GASOLINE","18000.00"
11745,11432744,579,5192,"50.00","4.90",15,10,5192,"Sarasota","US","27.352626","-82.531146","Sarasota/Bradenton",579,"Kia","Optima","sedan",2019,"GASOLINE","25000.00"
11746,11432744,579,144,"50.00","4.48",32,25,144,"Sarasota","US","27.353598","-82.530996","Sarasota/Bradenton",579,"Kia","Optima","sedan",2019,"GASOLINE","25000.00"
11747,1251177,792,2299,"269.00","4.69",14,13,2299,"Sandy Springs","US","33.934135","-84.364693","Atlanta",792,"Maserati","Levante","suv",2020,"GASOLINE","70000.00"
11748,2946778,1073,690,"150.00","4.81",54,48,690,"Millvale","US","40.480294","-79.970251","Pittsburgh",1073,"Mercedes-Benz","GL-Class","suv",2009,"GASOLINE","15000.00"
11749,5147182,1704,394,"34.00","4.95",84,55,394,"Chicago","US","41.973969","-87.716340","Chicago",1704,"Toyota","RAV4","suv",2010,"GASOLINE","8000.00"
11750,15304141,1255,3735,"55.00",NULL,0,0,3735,"Raleigh","US","35.764669","-78.712980","Raleigh/Durham",1255,"Nissan","Rogue","suv",2015,"GASOLINE","18000.00"
11751,2421007,126,1595,"85.00","4.98",64,56,1595,"Hillside","US","40.702664","-74.226453","Newark",126,"Nissan","Rogue","suv",2019,"GASOLINE","25000.00"
11752,9370336,1553,762,"99.00","4.97",32,30,762,"Kearny","US","40.759862","-74.147694","Newark",1553,"Toyota","Highlander","suv",2017,"GASOLINE","35000.00"
11753,1012840,378,5452,"90.00","5.00",1,1,5452,"Mason","US","39.328238","-84.294417","Cincinnati",378,"Ram","3500","truck",2018,"DIESEL","45000.00"
11754,3533385,198,5267,"78.00","5.00",9,8,5267,"Jersey City","US","40.738539","-74.059061","Newark",198,"Toyota","RAV4","suv",2014,"GASOLINE","16000.00"
11755,3533385,1662,1185,"140.00","3.67",5,3,1185,"Jersey City","US","40.738874","-74.058996","Newark",1662,"Porsche","Cayenne","suv",2013,"HYBRID","25000.00"
11756,67096,692,2431,"77.00","5.00",48,41,2431,"Jersey City","US","40.721165","-74.049001","Newark",692,"Honda","CR-V","suv",2016,"GASOLINE","20000.00"
11757,405910,1911,238,"65.00","4.83",7,6,238,"Elizabeth","US","40.652590","-74.212780","Newark",1911,"Chevrolet","Equinox","suv",2019,"GASOLINE","25000.00"
11758,67096,1906,2488,"76.00","5.00",21,19,2488,"Jersey City","US","40.717224","-74.052112","Newark",1906,"Mazda","CX-5","suv",2015,"GASOLINE","18000.00"
11759,67096,225,1504,"76.00","5.00",41,37,1504,"Jersey City","US","40.721782","-74.049838","Newark",225,"Honda","HR-V","suv",2016,"GASOLINE","18000.00"
11760,11048083,1000,4467,"40.00",NULL,0,0,4467,"Fairfield","US","39.308287","-84.486679","Cincinnati",1000,"Jeep","Renegade","suv",2017,"GASOLINE","18000.00"
11761,950349,727,2093,"62.00","4.75",82,73,2093,"Phoenix","US","33.449066","-111.987970","Phoenix",727,"Chrysler","Town and Country","minivan",2013,"GASOLINE","12000.00"
11762,2407657,568,1893,"87.00","5.00",6,5,1893,"Lyndhurst","US","40.805635","-74.112987","Newark",568,"Toyota","Sienna","minivan",2011,"GASOLINE","10000.00"
11763,5139532,1289,3136,"165.00","4.56",10,9,3136,"Secaucus","US","40.764846","-74.083234","Newark",1289,"Land Rover","Discovery Sport","suv",2018,"GASOLINE","35000.00"
11764,8840063,1379,2969,"175.00","5.00",28,27,2969,"Waipahu","US","21.389080","-158.031607","Honolulu",1379,"BMW","i8","coupe",2016,"HYBRID","80000.00"
11765,11393646,1426,5637,"115.00",NULL,2,0,5637,"Rahway","US","40.608624","-74.268145","Newark",1426,"Mercedes-Benz","GLA-Class","suv",2017,"GASOLINE","30000.00"
11766,2110510,1079,4215,"89.00","4.80",60,55,4215,"Jersey City","US","40.718036","-74.054111","Newark",1079,"Chrysler","Pacifica","van",2018,"GASOLINE","30000.00"
11767,9218610,573,4333,"104.00","4.93",16,14,4333,"Montclair","US","40.798486","-74.219679","Newark",573,"Jeep","Wrangler Unlimited","suv",2019,"GASOLINE","40000.00"
11768,13001642,1922,3794,"40.00","5.00",25,22,3794,"Plainfield","US","39.707095","-86.366462","Indianapolis",1922,"Chevrolet","Trax","suv",2019,"GASOLINE","20000.00"
11769,3856661,1316,2757,"95.00","5.00",7,6,2757,"Loveland","US","40.409697","-104.996978","Denver",1316,"Dodge","Grand Caravan","minivan",2015,"GASOLINE","15000.00"
11770,15799693,1218,4759,"48.00",NULL,0,0,4759,"Denver","US","39.855882","-104.674439","Denver",1218,"Ford","Escape","suv",2017,"GASOLINE","22000.00"
11771,2809821,65,3466,"119.00","4.85",50,40,3466,"Denver","US","39.799974","-104.873685","Denver",65,"Tesla","Model X","suv",2017,"ELECTRIC","65000.00"
11772,742089,240,1390,"109.00","4.94",34,31,1390,"Jacksonville","US","30.332996","-81.792377","Jacksonville",240,"Mercedes-Benz","Metris","minivan",2016,"GASOLINE","25000.00"
11773,2253073,1092,4745,"210.00",NULL,1,0,4745,"Jacksonville","US","30.318215","-81.480429","Jacksonville",1092,"Ford","F-150","truck",2013,"GASOLINE","18000.00"
11774,742089,683,3895,"84.00","5.00",51,42,3895,"Jacksonville","US","30.335319","-81.792305","Jacksonville",683,"BMW","X3","suv",2016,"GASOLINE","30000.00"
11775,2809821,65,3592,"119.00","4.95",113,80,3592,"Denver","US","39.799079","-104.874237","Denver",65,"Tesla","Model X","suv",2017,"ELECTRIC","65000.00"
11776,9326785,19,253,"75.00","4.50",3,2,253,"Eaton","US","40.530408","-104.713582","Denver",19,"Kia","Sedona","minivan",2019,"GASOLINE","32000.00"
11777,8819114,1350,5620,"57.00","3.50",3,2,5620,"Lakewood","US","39.681583","-105.100971","Denver",1350,"Volkswagen","Touareg","suv",2012,"DIESEL","12000.00"
11778,9448952,1246,2513,"34.00","4.96",29,27,2513,"Orlando","US","28.448199","-81.241510","Orlando",1246,"Dodge","Grand Caravan","minivan",2012,"GASOLINE","8000.00"
